2020/03/24 09:15:45 [crit] 6#6: *2 realpath() "/var/www/html/public" failed (2: No such file or directory), client: 172.26.0.1, server: zend-reenactment, request: "GET / HTTP/1.1", host: "localhost:8000"
2020/03/24 09:15:45 [error] 6#6: *2 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.26.0.1, server: zend-reenactment, request: "GET / HTTP/1.1", upstream: "fastcgi://172.26.0.3:9000", host: "localhost:8000"
2020/03/24 09:15:45 [error] 6#6: *2 open() "/var/www/html/public/favicon.ico" failed (2: No such file or directory), client: 172.26.0.1, server: zend-reenactment, request: "GET /favicon.ico HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/"
2020/03/25 14:37:05 [error] 6#6: *7 open() "/var/www/html/public/favicon.ico" failed (2: No such file or directory), client: 172.26.0.1, server: zend_reenactment.local, request: "GET /favicon.ico HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/user"
2020/03/25 14:42:15 [error] 6#6: *10 open() "/var/www/html/public/favicon.ico" failed (2: No such file or directory), client: 172.26.0.1, server: zend_reenactment.local, request: "GET /favicon.ico HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/user"
2020/03/25 14:42:18 [error] 6#6: *10 open() "/var/www/html/public/favicon.ico" failed (2: No such file or directory), client: 172.26.0.1, server: zend_reenactment.local, request: "GET /favicon.ico HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/user"
2020/03/25 14:45:44 [error] 6#6: *16 open() "/var/www/html/public/favicon.ico" failed (2: No such file or directory), client: 172.26.0.1, server: zend_reenactment.local, request: "GET /favicon.ico HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/user"
2020/03/25 14:52:23 [error] 6#6: *22 open() "/var/www/html/public/favicon.ico" failed (2: No such file or directory), client: 172.26.0.1, server: zend_reenactment.local, request: "GET /favicon.ico HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/user"
2020/03/25 14:52:26 [error] 6#6: *22 open() "/var/www/html/public/favicon.ico" failed (2: No such file or directory), client: 172.26.0.1, server: zend_reenactment.local, request: "GET /favicon.ico HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/user"
2020/03/25 14:52:27 [error] 6#6: *22 open() "/var/www/html/public/favicon.ico" failed (2: No such file or directory), client: 172.26.0.1, server: zend_reenactment.local, request: "GET /favicon.ico HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/user"
2020/03/25 14:55:22 [error] 6#6: *28 open() "/var/www/html/public/favicon.ico" failed (2: No such file or directory), client: 172.26.0.1, server: zend_reenactment.local, request: "GET /favicon.ico HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/user"
2020/03/25 14:55:24 [error] 6#6: *29 open() "/var/www/html/public/favicon.ico" failed (2: No such file or directory), client: 172.26.0.1, server: zend_reenactment.local, request: "GET /favicon.ico HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/user"
2020/03/25 14:56:50 [error] 6#6: *35 open() "/var/www/html/public/favicon.ico" failed (2: No such file or directory), client: 172.26.0.1, server: zend_reenactment.local, request: "GET /favicon.ico HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/user"
2020/03/25 15:05:01 [error] 6#6: *43 open() "/var/www/html/public/favicon.ico" failed (2: No such file or directory), client: 172.26.0.1, server: zend_reenactment.local, request: "GET /favicon.ico HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/"
2020/03/25 15:07:32 [error] 6#6: *62 open() "/var/www/html/public/favicon.ico" failed (2: No such file or directory), client: 172.26.0.1, server: zend_reenactment.local, request: "GET /favicon.ico HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/"
2020/03/25 15:18:37 [error] 6#6: *66 open() "/var/www/html/public/favicon.ico" failed (2: No such file or directory), client: 172.26.0.1, server: zend_reenactment.local, request: "GET /favicon.ico HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/"
2020/03/25 15:20:31 [error] 6#6: *72 open() "/var/www/html/public/favicon.ico" failed (2: No such file or directory), client: 172.26.0.1, server: zend_reenactment.local, request: "GET /favicon.ico HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/"
2020/03/25 15:21:56 [error] 6#6: *76 open() "/var/www/html/public/favicon.ico" failed (2: No such file or directory), client: 172.26.0.1, server: zend_reenactment.local, request: "GET /favicon.ico HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/"
2020/03/25 15:22:09 [error] 6#6: *76 open() "/var/www/html/public/favicon.ico" failed (2: No such file or directory), client: 172.26.0.1, server: zend_reenactment.local, request: "GET /favicon.ico HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/"
2020/03/25 15:22:13 [error] 6#6: *76 open() "/var/www/html/public/favicon.ico" failed (2: No such file or directory), client: 172.26.0.1, server: zend_reenactment.local, request: "GET /favicon.ico HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/"
2020/03/25 15:23:23 [error] 6#6: *83 open() "/var/www/html/public/favicon.ico" failed (2: No such file or directory), client: 172.26.0.1, server: zend_reenactment.local, request: "GET /favicon.ico HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/"
2020/03/25 15:29:18 [error] 6#6: *90 open() "/var/www/html/public/favicon.ico" failed (2: No such file or directory), client: 172.26.0.1, server: zend_reenactment.local, request: "GET /favicon.ico HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/"
2020/03/25 15:32:56 [error] 6#6: *102 open() "/var/www/html/public/favicon.ico" failed (2: No such file or directory), client: 172.26.0.1, server: zend_reenactment.local, request: "GET /favicon.ico HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/"
2020/03/25 15:38:07 [error] 6#6: *104 open() "/var/www/html/public/favicon.ico" failed (2: No such file or directory), client: 172.26.0.1, server: zend_reenactment.local, request: "GET /favicon.ico HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/"
2020/03/26 08:39:25 [error] 6#6: *1 open() "/var/www/html/public/favicon.ico" failed (2: No such file or directory), client: 172.26.0.1, server: zend_reenactment.local, request: "GET /favicon.ico HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/user"
2020/03/26 08:39:27 [error] 6#6: *1 open() "/var/www/html/public/favicon.ico" failed (2: No such file or directory), client: 172.26.0.1, server: zend_reenactment.local, request: "GET /favicon.ico HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/user"
2020/03/26 09:00:56 [error] 6#6: *9 open() "/var/www/html/public/favicon.ico" failed (2: No such file or directory), client: 172.26.0.1, server: zend_reenactment.local, request: "GET /favicon.ico HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/user"
2020/03/26 09:10:48 [error] 6#6: *18 open() "/var/www/html/public/favicon.ico" failed (2: No such file or directory), client: 172.26.0.1, server: zend_reenactment.local, request: "GET /favicon.ico HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/user"
2020/03/26 09:12:20 [error] 6#6: *23 open() "/var/www/html/public/favicon.ico" failed (2: No such file or directory), client: 172.26.0.1, server: zend_reenactment.local, request: "GET /favicon.ico HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/user"
2020/03/26 09:18:25 [error] 6#6: *32 open() "/var/www/html/public/favicon.ico" failed (2: No such file or directory), client: 172.26.0.1, server: zend_reenactment.local, request: "GET /favicon.ico HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/user"
2020/03/26 09:22:48 [error] 6#6: *35 open() "/var/www/html/public/favicon.ico" failed (2: No such file or directory), client: 172.26.0.1, server: zend_reenactment.local, request: "GET /favicon.ico HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/user"
2020/03/26 09:28:33 [error] 6#6: *42 open() "/var/www/html/public/favicon.ico" failed (2: No such file or directory), client: 172.26.0.1, server: zend_reenactment.local, request: "GET /favicon.ico HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/user"
2020/03/26 09:30:47 [error] 6#6: *46 open() "/var/www/html/public/favicon.ico" failed (2: No such file or directory), client: 172.26.0.1, server: zend_reenactment.local, request: "GET /favicon.ico HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/user"
2020/03/26 12:33:30 [error] 6#6: *55 open() "/var/www/html/public/favicon.ico" failed (2: No such file or directory), client: 172.26.0.1, server: zend_reenactment.local, request: "GET /favicon.ico HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/user"
2020/03/26 12:33:35 [error] 6#6: *55 open() "/var/www/html/public/favicon.ico" failed (2: No such file or directory), client: 172.26.0.1, server: zend_reenactment.local, request: "GET /favicon.ico HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/user"
2020/03/26 12:34:35 [error] 6#6: *58 open() "/var/www/html/public/favicon.ico" failed (2: No such file or directory), client: 172.26.0.1, server: zend_reenactment.local, request: "GET /favicon.ico HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/user"
2020/03/26 12:34:40 [error] 6#6: *62 open() "/var/www/html/public/favicon.ico" failed (2: No such file or directory), client: 172.26.0.1, server: zend_reenactment.local, request: "GET /favicon.ico HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/user"
2020/03/26 12:35:26 [error] 6#6: *67 open() "/var/www/html/public/favicon.ico" failed (2: No such file or directory), client: 172.26.0.1, server: zend_reenactment.local, request: "GET /favicon.ico HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/user"
2020/03/26 12:37:11 [error] 6#6: *80 open() "/var/www/html/public/favicon.ico" failed (2: No such file or directory), client: 172.26.0.1, server: zend_reenactment.local, request: "GET /favicon.ico HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/"
2020/03/26 12:37:47 [error] 6#6: *83 open() "/var/www/html/public/favicon.ico" failed (2: No such file or directory), client: 172.26.0.1, server: zend_reenactment.local, request: "GET /favicon.ico HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/"
2020/03/26 12:40:24 [error] 6#6: *95 open() "/var/www/html/public/favicon.ico" failed (2: No such file or directory), client: 172.26.0.1, server: zend_reenactment.local, request: "GET /favicon.ico HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/user"
2020/03/26 14:55:00 [error] 6#6: *103 open() "/var/www/html/public/favicon.ico" failed (2: No such file or directory), client: 172.26.0.1, server: zend_reenactment.local, request: "GET /favicon.ico HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/user/add"
2020/03/26 15:27:23 [error] 6#6: *111 open() "/var/www/html/public/favicon.ico" failed (2: No such file or directory), client: 172.26.0.1, server: zend_reenactment.local, request: "GET /favicon.ico HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/user/add"
2020/03/26 15:30:01 [error] 6#6: *115 open() "/var/www/html/public/favicon.ico" failed (2: No such file or directory), client: 172.26.0.1, server: zend_reenactment.local, request: "GET /favicon.ico HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/user/add"
2020/03/26 15:33:02 [error] 6#6: *122 open() "/var/www/html/public/favicon.ico" failed (2: No such file or directory), client: 172.26.0.1, server: zend_reenactment.local, request: "GET /favicon.ico HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/user/add"
2020/03/27 09:30:24 [error] 6#6: *2 open() "/var/www/html/public/favicon.ico" failed (2: No such file or directory), client: 172.26.0.1, server: zend_reenactment.local, request: "GET /favicon.ico HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/user"
2020/03/27 09:39:54 [error] 6#6: *5 open() "/var/www/html/public/favicon.ico" failed (2: No such file or directory), client: 172.26.0.1, server: zend_reenactment.local, request: "GET /favicon.ico HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/user"
